ID1||plataforma||servidor||base||esquema||tabla||descripcion||data_owner||data_steward||fecha_creacion||num_columnas||columnas_documentadas||avance||clasificacion||fecha_Proceso||estado||used_mb
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||POTENCIAL_CARTERA_EMP||||||||2021-08-24||4||0||0.0||TRB||2025-05-12||P||0.91
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||NO_APROBADOS_JUNIO||||||||2021-06-18||23||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||SIMULACION||dbo||PORTAFOLIO_BURO_API_HISTORICO||||||||2024-10-30||23||0||0.0||TRB||2025-05-12||P||0.01
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_AVISO_SEGURO||||||||2023-12-18||27||0||0.0||TRB||2025-05-12||P||91.91
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TBL_REFRESHHISTORY_PBI||||rserrano||||2025-04-01||7||0||0.0||TRB||2025-05-12||P||0.39
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||TEMP_MJZF_FABRIC_TB_BASELINE_TC||||mzambrano10||||2025-04-21||2||0||0.0||TMP||2025-05-12||P||15.8
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||TEMP_MJZF_BALANCES_2023_1||||mzambrano10||20234||2025-02-21||630||0||0.0||TMP||2025-05-12||P||414.84
1||ANALITICA||GYEINTNEGDB01||SIMULACION||dbo||proceso_campañas_entrega_202503||||jchong||||2025-03-21||74||0||0.0||TRB||2025-05-12||P||2197.57
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||UBICACIONTC_CIAC||||pespinoza||||2024-08-19||9||0||0.0||TRB||2025-05-12||P||18.69
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||BG_TB_TransferenciasInternacionales_MT103_Beneficiario||||jnavarro||||2025-03-20||5||0||0.0||TRB||2025-05-12||P||3.09
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_COMERCIALIZADORA_MBUSTOS||||jnavarro||||2025-02-11||8||0||0.0||TRB||2025-05-12||P||3.5
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||Visualizacion||FACTURACION_RFM_ac||||acarrion||||2025-02-04||28||2||0.071428||TRB||2025-05-12||P||4052.54
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||TEMP_MJZF_BALANCES_2022_1||||mzambrano10||20234||2025-02-21||630||0||0.0||TMP||2025-05-12||P||390.96
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||USO_TC_TOP1_FINAL||||jchica||||2025-04-07||5||0||0.0||TRB||2025-05-12||P||491.59
1||ANALITICA||GYEINTNEGDB01||SIMULACION||dbo||proceso_campañas_entrega_0_20241115||||jchong||||2024-11-15||74||0||0.0||TRB||2025-05-12||P||1994.57
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_AUD_ACT_ELROSADO_SEPT_JA||||jalvarez||||2024-09-18||18||0||0.0||TRB||2025-05-12||P||83.56
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_AUD_CHAMP_2025_COPIA_JA||||jalvarez||||2025-02-11||13||0||0.0||TRB||2025-05-12||P||229.2
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_AUD_SUPERMERCADO_MAR_25_TG_JA||||jalvarez||||2025-03-17||19||0||0.0||TRB||2025-05-12||P||10.67
